id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
458;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_188;2015-9-1;Participation aux comités scientifiques de confére;;800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Participation aux comités scientifiques de confére;800;;__export__.account_journal_5;__export__.account_period_10
459;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_188;2015-9-1;Responsable CRAG;;36000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Responsable CRAG;36000;;__export__.account_journal_5;__export__.account_period_10
461;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_188;2015-9-1;Réserve projet RCSO;;800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Réserve projet RCSO;800;;__export__.account_journal_5;__export__.account_period_10
462;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_188;2015-9-1;Publications;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Publications;1600;;__export__.account_journal_5;__export__.account_period_10
493;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_189;2015-9-1;Développement CTI réserve;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Développement CTI réserve;4000;;__export__.account_journal_5;__export__.account_period_10
494;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_189;2015-9-1;Dépôt projet (CTI + RCSO);;9600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépôt projet (CTI + RCSO);9600;;__export__.account_journal_5;__export__.account_period_10
495;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_189;2015-9-1;Ecriture d'articles;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Ecriture d'articles;1600;;__export__.account_journal_5;__export__.account_period_10
496;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_189;2015-9-1;Participation au comité conférence Marketing Educa;;800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Participation au comité conférence Marketing Educa;800;;__export__.account_journal_5;__export__.account_period_10
498;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_189;2015-9-1;Réalisation mandats dt VdNyon-Ifage (régul 14-15);;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Réalisation mandats dt VdNyon-Ifage (régul 14-15);4000;;__export__.account_journal_5;__export__.account_period_10
545;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_190;2015-9-1;Participation RCSO isnet;;1200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Participation RCSO isnet;1200;;__export__.account_journal_5;__export__.account_period_10
546;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_190;2015-9-1;Mandat HES-SO GE eduqua;;4400;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Mandat HES-SO GE eduqua;4400;;__export__.account_journal_5;__export__.account_period_10
554;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_191;2015-9-1;36720 - Réalisation Projet RCSO-MAC -1;;8520;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;36720 - Réalisation Projet RCSO-MAC -1;8520;;__export__.account_journal_5;__export__.account_period_10
555;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_191;2015-9-1;39337 - Réalisation Projet Datalytics;;2860;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;39337 - Réalisation Projet Datalytics;2860;;__export__.account_journal_5;__export__.account_period_10
556;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_191;2015-9-1;Dépôt projet exogène Alcimed + RCSO (report 14-15);;2120;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépôt projet exogène Alcimed + RCSO (report 14-15);2120;;__export__.account_journal_5;__export__.account_period_10
559;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_192;2015-9-1;39477 - Projet CTI RSD GLASS Infonomics;;12000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;39477 - Projet CTI RSD GLASS Infonomics;12000;;__export__.account_journal_5;__export__.account_period_10
567;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_193;2015-9-1;Projet WeIRD;;0;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Projet WeIRD;0;;__export__.account_journal_5;__export__.account_period_10
572;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_193;2015-9-1;GeoTweet;;0;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;GeoTweet;0;;__export__.account_journal_5;__export__.account_period_10
612;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_194;2015-9-1;Expert métier ressources docum.HES-SO;;9000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Expert métier ressources docum.HES-SO;9000;;__export__.account_journal_5;__export__.account_period_10
613;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_194;2015-9-1;Encadrement MSCI (12h/ élève) -> 6 élèves;;2880;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Encadrement MSCI (12h/ élève) -> 6 élèves;2880;;__export__.account_journal_5;__export__.account_period_10
630;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_195;2015-9-1;30259 - Projet Interreg;;15000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;30259 - Projet Interreg;15000;;__export__.account_journal_5;__export__.account_period_10
642;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_196;2015-9-1;Mandat SLJ camps 2015-2016 facture 35'000,- 5000;;10880;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Mandat SLJ camps 2015-2016 facture 35'000,- 5000;10880;;__export__.account_journal_5;__export__.account_period_10
643;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_196;2015-9-1;Divers Mandats y.c .32h slj 2014-2015;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Divers Mandats y.c .32h slj 2014-2015;4000;;__export__.account_journal_5;__export__.account_period_10
677;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;CTI - Responsabilité réseau de l'Etat;;21000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;CTI - Responsabilité réseau de l'Etat;21000;;__export__.account_journal_5;__export__.account_period_10
678;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;Chef du Centre Calvin 80h;;3200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Chef du Centre Calvin 80h;3200;;__export__.account_journal_5;__export__.account_period_10
679;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;Cours ATTIC 2014 40;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Cours ATTIC 2014 40;1600;;__export__.account_journal_5;__export__.account_period_10
680;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;Cours ATTIC 2012 60;;2400;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Cours ATTIC 2012 60;2400;;__export__.account_journal_5;__export__.account_period_10
685;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;Forfait annuel votations/élections;;3200;__export__.account_journal_5;__export__.account_period_10
